Timestamp,Region_ID,Soil_Moisture,Soil_Temperature,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Air_Temperature,Humidity,Rainfall,Solar_Radiation,Groundwater_Level,Surface_Water_Availability,NDVI_Index,Vegetation_Density,Biodiversity_Index,Land_Degradation_Index,Crop_Yield_Potential,Drought_Risk_Level,Soil_Erosion_Risk,Recommended_Irrigation,Land_Use_Category
2024-01-01 00:00:00,R07,37.36,39.1,4.52,103.65,10.36,298.41,21.04,25.35,9.39,1045.69,10.15,33.84,0.727,32.0,0.587,0.606,3784.08,0.023,0.473,3.17,Agroforestry
2024-01-01 01:00:00,R04,26.87,22.78,6.13,35.9,44.16,147.29,23.37,74.09,47.99,785.26,4.93,44.95,0.615,68.87,0.843,0.452,572.81,0.188,0.01,2.26,Forest
2024-01-01 02:00:00,R13,58.56,13.51,7.02,75.96,6.45,91.76,28.23,72.61,30.72,968.91,16.38,77.59,0.934,79.53,0.945,0.501,2295.42,0.825,0.501,2.98,Agroforestry
2024-01-01 03:00:00,R15,34.93,33.58,5.83,104.15,59.65,285.53,39.29,93.87,31.55,93.36,15.88,91.67,0.178,57.65,0.305,0.964,1441.83,0.223,0.585,14.07,Agroforestry
2024-01-01 04:00:00,R11,20.14,10.27,7.85,54.96,41.6,140.34,39.87,45.65,30.49,368.87,21.44,10.49,0.163,28.93,0.925,0.011,2674.89,0.368,0.712,10.08,Restoration
2024-01-01 05:00:00,R08,44.02,26.64,7.37,112.54,39.42,219.63,19.9,30.82,27.78,1024.14,30.0,29.96,0.909,57.31,0.627,0.75,579.17,0.652,0.169,10.36,Forest
2024-01-01 06:00:00,R13,19.93,16.75,5.9,109.33,19.71,244.92,31.59,26.89,38.38,416.08,19.62,18.91,0.647,21.91,0.6,0.762,5843.6,0.07,0.096,2.29,Forest
2024-01-01 07:00:00,R05,54.73,31.96,7.44,32.89,32.09,259.22,27.48,25.38,64.4,869.55,9.85,43.55,0.558,5.74,0.123,0.095,1314.67,0.675,0.571,9.21,Forest
2024-01-01 08:00:00,R07,25.61,44.28,8.26,38.49,18.64,253.53,32.13,80.77,52.53,1191.02,28.71,53.05,0.74,91.97,0.71,0.966,5769.58,0.27,0.842,12.93,Water
2024-01-01 09:00:00,R10,35.24,26.25,4.87,29.85,60.15,257.42,34.43,73.89,7.61,253.74,17.35,72.13,0.282,48.11,0.307,0.496,3284.02,0.172,0.641,10.2,Agroforestry
2024-01-01 10:00:00,R03,7.78,38.61,5.72,31.57,19.93,213.59,23.39,93.19,51.1,530.18,19.55,87.57,0.595,48.03,0.426,0.715,871.82,0.099,0.766,1.15,Restoration
2024-01-01 11:00:00,R07,28.44,27.77,6.35,109.86,51.26,145.0,42.58,43.19,101.55,239.9,11.05,54.21,0.427,74.48,0.142,0.426,5339.17,0.156,0.36,6.5,Forest
2024-01-01 12:00:00,R11,50.78,27.35,6.49,112.43,25.97,213.49,43.06,80.23,12.08,227.43,13.83,48.88,0.307,56.0,0.231,0.317,2777.35,0.552,0.2,10.67,Restoration
2024-01-01 13:00:00,R11,49.31,42.56,6.67,15.71,54.27,257.55,18.16,26.98,113.32,778.0,12.85,57.58,0.876,45.43,0.622,0.57,1308.08,0.938,0.265,1.39,Restoration
2024-01-01 14:00:00,R08,17.34,41.15,5.7,75.3,45.53,131.17,36.09,87.79,37.03,270.08,28.12,88.84,0.161,79.46,0.614,0.892,1988.17,0.681,0.208,5.4,Water
2024-01-01 15:00:00,R05,17.43,37.5,7.17,72.07,36.76,117.09,16.0,23.89,1.74,605.05,24.38,64.85,0.018,47.5,0.458,0.64,2114.09,0.451,0.911,10.7,Agriculture
